frame,epoch_utc,datetime_utc,ice_strength_mean,ice_strength_max,wind_speed_mean,wind_speed_max,current_speed_mean,current_speed_max,ice_speed_mean,ice_speed_max,fractured_fraction,wind_drag_mean,wind_drag_max,current_drag_mean,current_drag_max
1,1748477099,2025-05-29 00:04 UTC,291238,366045,3.34814,7.38433,0.367925,0.477295,1.00883e-05,2.34198e-05,0,0.0207198,0.0916077,0.719507,1.17314
2,1748477399,2025-05-29 00:09 UTC,291222,366033,3.3351,7.13747,0.371176,0.482061,2.09127e-05,4.83741e-05,0,0.0205177,0.0855854,0.732102,1.19659
3,1748477699,2025-05-29 00:14 UTC,291206,366021,3.32282,6.90509,0.374426,0.486827,3.22323e-05,7.50838e-05,0,0.0203245,0.0801034,0.744811,1.22027
4,1748477999,2025-05-29 00:19 UTC,291190,366010,3.31132,6.82433,0.377677,0.491594,4.43421e-05,0.000103084,0,0.0201402,0.0782401,0.757632,1.24418
5,1748478299,2025-05-29 00:24 UTC,291173,366000,3.30062,6.83385,0.380928,0.49636,5.69505e-05,0.000132011,0,0.0199647,0.0784586,0.770566,1.26832
6,1748478598,2025-05-29 00:29 UTC,291157,365990,3.29074,6.84338,0.384168,0.501111,0.000201056,0.00147378,7.26378e-05,0.0197994,0.0786778,0.783193,1.2926
7,1748478898,2025-05-29 00:34 UTC,291151,365980,3.28164,6.85301,0.387419,0.505877,0.000204982,0.00475857,0.000293752,0.019641,0.0788986,0.796315,1.31439
8,1748479198,2025-05-29 00:39 UTC,291134,365972,3.27336,6.86269,0.39067,0.510644,0.000454247,0.00481648,0.00137731,0.0194889,0.0791216,0.810846,1.34729
9,1748479498,2025-05-29 00:44 UTC,291118,365963,3.26589,6.87242,0.393921,0.51541,0.000470845,0.00526801,0.00599902,0.0193508,0.079349,0.822721,1.3656
10,1748479798,2025-05-29 00:49 UTC,291102,365956,3.25923,6.8822,0.397173,0.520177,0.00153932,0.0404031,0.0192962,0.0192199,0.0795745,0.833823,1.39035
11,1748480098,2025-05-29 00:54 UTC,291097,365948,3.2534,6.89203,0.400424,0.524944,0.00297546,0.0579249,0.0400465,0.0191132,0.0798223,0.839233,1.3949
12,1748480398,2025-05-29 00:59 UTC,291085,365941,3.24838,6.90192,0.403676,0.529884,0.00386145,0.103497,0.0613876,0.019,0.0801015,0.850558,1.42921
13,1748480697,2025-05-29 01:04 UTC,291092,365936,3.2442,6.91183,0.401468,0.527881,0.000763325,0.0697234,0.0732632,0.0188685,0.0802703,0.852699,1.43478
14,1748480997,2025-05-29 01:09 UTC,291076,365931,3.24082,6.92182,0.399215,0.525825,0.000209029,0.0274081,0.0746873,0.018761,0.0804897,0.84557,1.42768
15,1748481297,2025-05-29 01:14 UTC,291060,365926,3.23825,6.93186,0.396963,0.523769,0.000282985,0.0196171,0.0747076,0.018664,0.0807257,0.836993,1.41381
16,1748481597,2025-05-29 01:19 UTC,291045,365922,3.2365,6.94195,0.394712,0.521714,0.000181305,0.0197206,0.0747097,0.0185756,0.0809595,0.826549,1.40358
17,1748481897,2025-05-29 01:24 UTC,291033,365919,3.23555,6.9521,0.392461,0.519659,0.000165682,0.0185484,0.074728,0.0184925,0.0811968,0.817529,1.39222
18,1748482197,2025-05-29 01:29 UTC,291017,365916,3.23542,6.96229,0.39021,0.517604,0.000116267,0.016935,0.0747283,0.0184164,0.0814351,0.807713,1.37926
19,1748482497,2025-05-29 01:34 UTC,291003,365914,3.23609,6.97254,0.387959,0.515551,0.000111409,0.0228574,0.0747282,0.0183458,0.0816753,0.798095,1.36964
20,1748482796,2025-05-29 01:39 UTC,290992,365912,3.23757,6.9828,0.385717,0.513504,7.96131e-05,0.0300481,0.0747274,0.0182796,0.0819157,0.789058,1.35817
21,1748483096,2025-05-29 01:44 UTC,290977,365911,3.23987,6.99314,0.383467,0.511452,7.95755e-05,0.021893,0.0747274,0.0182189,0.0821594,0.779764,1.34728
22,1748483396,2025-05-29 01:49 UTC,290963,365910,3.24298,7.00354,0.381218,0.5094,7.37126e-05,0.0263815,0.0747271,0.018163,0.0824032,0.77041,1.33581
23,1748483696,2025-05-29 01:54 UTC,290949,365911,3.24691,7.03109,0.378969,0.507348,6.49201e-05,0.0549097,0.0747267,0.018111,0.0830529,0.761349,1.32511
24,1748483996,2025-05-29 01:59 UTC,290936,365911,3.25166,7.27678,0.376721,0.505297,5.35431e-05,0.0535915,0.0747302,0.0180632,0.0889587,0.752201,1.31499
25,1748484296,2025-05-29 02:04 UTC,290922,365912,3.25722,7.53308,0.369187,0.496165,5.17638e-05,0.0243899,0.0747314,0.0180184,0.0953351,0.722461,1.26805
26,1748484595,2025-05-29 02:09 UTC,290910,365914,3.26358,7.79293,0.361609,0.486968,5.56226e-05,0.015184,0.0747362,0.0179772,0.102026,0.693005,1.22134
27,1748484895,2025-05-29 02:14 UTC,290897,365916,3.27077,8.05762,0.354008,0.477742,5.49363e-05,0.0110916,0.0747382,0.0179387,0.109073,0.664109,1.17606
28,1748485195,2025-05-29 02:19 UTC,290885,365919,3.27878,8.32592,0.346408,0.468517,5.43329e-05,0.0082696,0.0747405,0.0179026,0.116456,0.635781,1.13079
29,1748485495,2025-05-29 02:24 UTC,290876,365923,3.2876,8.5975,0.338811,0.459294,6.21717e-05,0.00663711,0.0747531,0.0178684,0.124177,0.608134,1.08711
30,1748485795,2025-05-29 02:29 UTC,290865,365926,3.29725,8.87204,0.331215,0.450073,5.65169e-05,0.00620913,0.0747728,0.0178361,0.132238,0.581021,1.04353
31,1748486095,2025-05-29 02:34 UTC,290854,365931,3.30774,9.14929,0.323622,0.440853,4.81813e-05,0.00583289,0.0747842,0.0178051,0.140632,0.554543,1.00111
32,1748486395,2025-05-29 02:39 UTC,290843,365936,3.31907,9.429,0.316032,0.431635,6.34327e-05,0.00547908,0.0748111,0.0177749,0.149362,0.528739,0.959839
33,1748486694,2025-05-29 02:44 UTC,290832,365941,3.33125,9.71001,0.308469,0.422449,4.94398e-05,0.0051009,0.07482,0.0177454,0.158394,0.503591,0.919422
34,1748486994,2025-05-29 02:49 UTC,290822,365947,3.34439,9.99403,0.300884,0.413235,4.80645e-05,0.00482373,0.0748479,0.0177157,0.167797,0.478995,0.879767
35,1748487294,2025-05-29 02:54 UTC,290812,365954,3.35855,10.2799,0.293302,0.404023,3.51486e-05,0.00449211,0.0748676,0.0176858,0.177536,0.454982,0.840819
36,1748487594,2025-05-29 02:59 UTC,290803,365961,3.37377,10.5676,0.285723,0.394813,4.4306e-05,0.00419731,0.0748979,0.0176547,0.187611,0.431663,0.803171
37,1748487894,2025-05-29 03:04 UTC,290805,365965,3.32018,10.4181,0.273813,0.380121,6.02402e-05,0.00385241,0.0749152,0.0170241,0.182341,0.396444,0.744479
38,1748488194,2025-05-29 03:09 UTC,290810,365968,3.2662,10.3128,0.261817,0.365433,6.23794e-05,0.00353367,0.0749333,0.0164019,0.178676,0.362454,0.688098
39,1748488494,2025-05-29 03:14 UTC,290817,365971,3.2133,10.247,0.249824,0.350765,6.55164e-05,0.00322312,0.0749638,0.0158003,0.1764,0.330002,0.633977
40,1748488793,2025-05-29 03:19 UTC,290824,365975,3.16169,10.1814,0.237874,0.336149,5.62303e-05,0.00296888,0.0749852,0.0152212,0.174151,0.299139,0.582262
41,1748489093,2025-05-29 03:24 UTC,290832,365979,3.1111,10.1159,0.225887,0.321488,6.18546e-05,0.00266252,0.075027,0.01466,0.171916,0.269728,0.532575
42,1748489393,2025-05-29 03:29 UTC,290841,365984,3.06179,10.0505,0.213906,0.306833,5.1083e-05,0.00247029,0.0750683,0.0141187,0.1697,0.241843,0.485096
43,1748489693,2025-05-29 03:34 UTC,290852,365989,3.01384,9.98521,0.20193,0.292184,7.35134e-05,0.00219666,0.0751129,0.0135965,0.167504,0.215572,0.44013
44,1748489993,2025-05-29 03:39 UTC,290863,365994,2.96736,9.92014,0.18996,0.277541,7.29843e-05,0.00194361,0.0751513,0.0130934,0.165327,0.190745,0.396816
45,1748490293,2025-05-29 03:44 UTC,290875,366000,2.92243,9.85942,0.177997,0.262906,0.000169066,0.00165477,0.0751994,0.012608,0.16331,0.167647,0.357829
