frame,epoch_utc,datetime_utc,ice_strength_mean,ice_strength_max,wind_speed_mean,wind_speed_max,current_speed_mean,current_speed_max,ice_speed_mean,ice_speed_max,fractured_fraction,wind_drag_mean,wind_drag_max,current_drag_mean,current_drag_max
1,1748477099,2025-05-29 00:04 UTC,291238,366045,3.34814,7.38433,0.367925,0.477295,1.00883e-05,2.34198e-05,0,0.0207198,0.0916077,0.719507,1.17314
2,1748477399,2025-05-29 00:09 UTC,291222,366033,3.3351,7.13747,0.371176,0.482061,2.09127e-05,4.83741e-05,0,0.0205177,0.0855854,0.732102,1.19659
3,1748477699,2025-05-29 00:14 UTC,291206,366021,3.32282,6.90509,0.374426,0.486827,3.22323e-05,7.50838e-05,0,0.0203245,0.0801034,0.744811,1.22027
4,1748477999,2025-05-29 00:19 UTC,291190,366010,3.31132,6.82433,0.377677,0.491594,4.43421e-05,0.000103084,0,0.0201402,0.0782401,0.757632,1.24418
5,1748478299,2025-05-29 00:24 UTC,291173,366000,3.30062,6.83385,0.380928,0.49636,5.69505e-05,0.000132011,0,0.0199647,0.0784586,0.770566,1.26832
6,1748478598,2025-05-29 00:29 UTC,291157,365990,3.29074,6.84338,0.384168,0.501111,7.01119e-05,0.000162186,0,0.0197985,0.0786778,0.78357,1.2926
7,1748478898,2025-05-29 00:34 UTC,291140,365980,3.28164,6.85301,0.387419,0.505877,8.41446e-05,0.000195181,0,0.0196404,0.0788993,0.796729,1.31718
8,1748479198,2025-05-29 00:39 UTC,291134,365972,3.27336,6.86269,0.39067,0.510644,9.86246e-05,0.000228143,0,0.0194908,0.0791223,0.810001,1.342
9,1748479498,2025-05-29 00:44 UTC,291118,365964,3.26589,6.87242,0.393921,0.51541,0.000436121,0.00299664,7.4141e-05,0.0193517,0.0793468,0.822558,1.36703
10,1748479798,2025-05-29 00:49 UTC,291102,365956,3.25923,6.8822,0.397173,0.520177,0.000209375,0.000621274,0.000141396,0.0192165,0.0795751,0.836892,1.39178
11,1748480098,2025-05-29 00:54 UTC,291085,365949,3.2534,6.89203,0.400424,0.524944,0.000345997,0.00155049,0.000401157,0.0190925,0.0798009,0.850076,1.41877
12,1748480398,2025-05-29 00:59 UTC,291069,365943,3.24838,6.90192,0.403676,0.529884,0.00111071,0.0138122,0.00277968,0.018977,0.0800253,0.862979,1.44274
13,1748480697,2025-05-29 01:04 UTC,291053,365937,3.2442,6.91183,0.401468,0.527881,0.000520878,0.0116811,0.00383186,0.0188627,0.0802616,0.85579,1.43751
14,1748480997,2025-05-29 01:09 UTC,291037,365932,3.24082,6.92182,0.399215,0.525825,0.000483323,0.0328825,0.0038322,0.0187606,0.0804893,0.844905,1.42136
15,1748481297,2025-05-29 01:14 UTC,291022,365927,3.23825,6.93186,0.396963,0.523769,0.000281149,0.0567551,0.0038324,0.0186652,0.0807261,0.8357,1.41183
16,1748481597,2025-05-29 01:19 UTC,291006,365923,3.2365,6.94195,0.394712,0.521714,0.000268436,0.0287631,0.00383264,0.0185764,0.0809621,0.826057,1.40383
17,1748481897,2025-05-29 01:24 UTC,290991,365920,3.23555,6.9521,0.392461,0.519659,0.000252039,0.0102809,0.00383274,0.018492,0.0811958,0.817519,1.39502
18,1748482197,2025-05-29 01:29 UTC,290976,365917,3.23542,6.96229,0.39021,0.517604,0.00024732,0.00759812,0.00383278,0.0184169,0.081435,0.807094,1.37699
19,1748482497,2025-05-29 01:34 UTC,290961,365915,3.23609,6.97254,0.387959,0.515551,0.000175005,0.00599242,0.00383293,0.0183449,0.0816749,0.79848,1.36842
20,1748482796,2025-05-29 01:39 UTC,290946,365913,3.23757,6.9828,0.385717,0.513504,0.000159678,0.00503341,0.00383312,0.0182793,0.0819161,0.789149,1.35782
21,1748483096,2025-05-29 01:44 UTC,290932,365912,3.23987,6.99314,0.383467,0.511452,0.000117131,0.0043856,0.00383312,0.0182193,0.0821587,0.779564,1.34798
22,1748483396,2025-05-29 01:49 UTC,290918,365912,3.24298,7.00354,0.381218,0.5094,0.000180936,0.00388958,0.00383307,0.0181637,0.0824041,0.76989,1.33424
23,1748483696,2025-05-29 01:54 UTC,290904,365912,3.24691,7.03109,0.378969,0.507348,0.000101363,0.00335998,0.00383303,0.0181102,0.0830529,0.761665,1.32729
24,1748483996,2025-05-29 01:59 UTC,290891,365912,3.25166,7.27678,0.376721,0.505297,0.000104718,0.00310381,0.00383307,0.0180628,0.0889585,0.752364,1.31485
25,1748484296,2025-05-29 02:04 UTC,290877,365913,3.25722,7.53308,0.369187,0.496165,7.543e-05,0.00270715,0.00383303,0.0180182,0.0953355,0.722447,1.26827
26,1748484595,2025-05-29 02:09 UTC,290865,365915,3.26358,7.79293,0.361609,0.486968,9.14458e-05,0.00250492,0.00383307,0.0179773,0.102026,0.692773,1.22118
27,1748484895,2025-05-29 02:14 UTC,290852,365917,3.27077,8.05762,0.354008,0.477742,7.1304e-05,0.00215696,0.00383312,0.0179384,0.109074,0.664147,1.17556
28,1748485195,2025-05-29 02:19 UTC,290840,365920,3.27878,8.32592,0.346408,0.468517,7.26038e-05,0.00190601,0.00383322,0.0179024,0.116459,0.635833,1.13124
29,1748485495,2025-05-29 02:24 UTC,290828,365924,3.2876,8.5975,0.338811,0.459294,6.40636e-05,0.00179653,0.00383327,0.0178683,0.12418,0.608122,1.08664
30,1748485795,2025-05-29 02:29 UTC,290817,365927,3.29725,8.87204,0.331215,0.450073,4.46791e-05,0.00165798,0.00383322,0.0178364,0.132238,0.580842,1.04337
31,1748486095,2025-05-29 02:34 UTC,290805,365932,3.30774,9.14929,0.323622,0.440853,0.000100617,0.00142759,0.00383317,0.0178045,0.140632,0.55473,1.00178
32,1748486395,2025-05-29 02:39 UTC,290795,365937,3.31907,9.429,0.316032,0.431635,5.26086e-05,0.0013062,0.00383647,0.0177749,0.149362,0.528699,0.960055
33,1748486694,2025-05-29 02:44 UTC,290784,365942,3.33125,9.71001,0.308469,0.422449,5.52018e-05,0.00124061,0.00383628,0.0177452,0.158398,0.503608,0.919577
34,1748486994,2025-05-29 02:49 UTC,290774,365949,3.34439,9.99403,0.300884,0.413235,5.38462e-05,0.00111892,0.00383623,0.0177156,0.167799,0.479003,0.879904
35,1748487294,2025-05-29 02:54 UTC,290764,365955,3.35855,10.2799,0.293302,0.404023,4.06391e-05,0.00103203,0.00383618,0.0176857,0.177537,0.454986,0.840457
36,1748487594,2025-05-29 02:59 UTC,290755,365962,3.37377,10.5676,0.285723,0.394813,3.9278e-05,0.000951916,0.00383632,0.0176547,0.187612,0.431645,0.802938
37,1748487894,2025-05-29 03:04 UTC,290757,365966,3.32018,10.4181,0.273813,0.380121,2.36003e-05,0.00090192,0.00383783,0.0170243,0.182343,0.39631,0.744223
38,1748488194,2025-05-29 03:09 UTC,290762,365969,3.2662,10.3128,0.261817,0.365433,4.6388e-05,0.000741049,0.00383778,0.0164019,0.178676,0.362417,0.688135
39,1748488494,2025-05-29 03:14 UTC,290769,365972,3.2133,10.247,0.249824,0.350765,3.01517e-05,0.000687846,0.00383788,0.0158005,0.1764,0.329897,0.633719
40,1748488793,2025-05-29 03:19 UTC,290776,365976,3.16169,10.1814,0.237874,0.336149,2.78408e-05,0.00061384,0.00383758,0.0152213,0.174152,0.299069,0.582135
41,1748489093,2025-05-29 03:24 UTC,290784,365980,3.1111,10.1159,0.225887,0.321488,3.6624e-05,0.000531757,0.00383754,0.0146601,0.171916,0.269689,0.532375
42,1748489393,2025-05-29 03:29 UTC,290793,365985,3.06179,10.0505,0.213906,0.306833,2.7149e-05,0.000454503,0.00383763,0.0141189,0.1697,0.241802,0.484919
43,1748489693,2025-05-29 03:34 UTC,290804,365990,3.01384,9.98521,0.20193,0.292184,3.62699e-05,0.000424127,0.00383754,0.0135968,0.167503,0.215489,0.439816
44,1748489993,2025-05-29 03:39 UTC,290815,365995,2.96736,9.92014,0.18996,0.277541,3.09666e-05,0.000348248,0.00383749,0.0130937,0.165327,0.190677,0.396835
45,1748490293,2025-05-29 03:44 UTC,290827,366001,2.92243,9.85942,0.177997,0.262906,3.69765e-05,0.000320575,0.00383744,0.012609,0.16331,0.167374,0.355983
