frame,epoch_utc,datetime_utc,ice_strength_mean,ice_strength_max,wind_speed_mean,wind_speed_max,current_speed_mean,current_speed_max,ice_speed_mean,ice_speed_max,fractured_fraction,wind_drag_mean,wind_drag_max,current_drag_mean,current_drag_max
1,1717632299,2024-06-06 00:04 UTC,245182,312077,8.76603,14.0189,0.36733,0.4876,9.04056e-06,0.000291195,0,0.134812,0.330169,0.707067,1.22434
2,1717632599,2024-06-06 00:09 UTC,245252,312221,8.75755,14.0262,0.362162,0.48135,1.78493e-05,0.0022416,0,0.134606,0.330513,0.687193,1.19307
3,1717632899,2024-06-06 00:14 UTC,245324,312365,8.7491,14.0335,0.356996,0.475101,2.59153e-05,0.00715037,0,0.134402,0.330857,0.66761,1.16221
4,1717633199,2024-06-06 00:19 UTC,245399,312510,8.74069,14.0408,0.351832,0.468854,3.42474e-05,0.0161624,0,0.1342,0.331202,0.648314,1.13177
5,1717633499,2024-06-06 00:24 UTC,245472,312655,8.73231,14.0481,0.346669,0.462607,4.18465e-05,0.0296817,0,0.134,0.331546,0.629308,1.10174
6,1717633799,2024-06-06 00:29 UTC,245548,312801,8.72398,14.0554,0.341509,0.456361,4.79847e-05,0.0437679,6.18118e-07,0.133801,0.331891,0.610591,1.07212
7,1717634099,2024-06-06 00:34 UTC,245623,312948,8.71568,14.0627,0.33635,0.450116,5.58353e-05,0.0637016,1.13928e-06,0.133605,0.332236,0.592162,1.04291
8,1717634399,2024-06-06 00:39 UTC,245701,313095,8.70743,14.07,0.331193,0.443872,7.16973e-05,0.0869596,2.42399e-06,0.13341,0.332582,0.57402,1.01402
9,1717634699,2024-06-06 00:44 UTC,245779,313243,8.69921,14.0773,0.326038,0.437629,0.000121147,0.113589,4.59346e-06,0.133217,0.332926,0.556127,0.985883
10,1717634999,2024-06-06 00:49 UTC,245858,313392,8.69103,14.0846,0.320885,0.431387,0.000500635,0.133055,0.000655214,0.133022,0.333273,0.538081,0.957595
11,1717635299,2024-06-06 00:54 UTC,245938,313541,8.68289,14.0919,0.315735,0.425146,0.000719945,0.0748214,0.000780286,0.132827,0.333618,0.520352,0.930947
12,1717635599,2024-06-06 00:59 UTC,246022,313691,8.67479,14.0993,0.310587,0.418907,0.000500596,0.0887646,0.00110903,0.132648,0.333968,0.504184,0.907542
13,1717635899,2024-06-06 01:04 UTC,246106,313841,8.66674,14.1068,0.300811,0.407006,0.000343326,0.181193,0.00111385,0.132465,0.334322,0.473105,0.851629
14,1717636199,2024-06-06 01:09 UTC,246189,313992,8.65872,14.1142,0.291021,0.395093,0.000341829,0.178884,0.00111797,0.132279,0.334676,0.442516,0.803624
15,1717636499,2024-06-06 01:14 UTC,246275,314144,8.65074,14.1217,0.281233,0.383183,0.000299866,0.136168,0.0011213,0.132102,0.335031,0.413791,0.755729
16,1717636799,2024-06-06 01:19 UTC,246361,314297,8.64281,14.1292,0.271445,0.371409,0.000276053,0.0949786,0.00112361,0.131922,0.335386,0.385408,0.710094
17,1717637099,2024-06-06 01:24 UTC,246448,314450,8.63492,14.1367,0.261659,0.359695,0.000261858,0.0789405,0.00112366,0.131742,0.335741,0.357916,0.665684
18,1717637399,2024-06-06 01:29 UTC,246537,314604,8.62707,14.1442,0.251875,0.347985,0.000237965,0.107681,0.00112462,0.131569,0.336096,0.33193,0.624929
19,1717637699,2024-06-06 01:34 UTC,246626,314758,8.61926,14.1516,0.242093,0.33628,0.000267144,0.134395,0.00112336,0.131394,0.336452,0.30661,0.583757
20,1717637999,2024-06-06 01:39 UTC,246717,314914,8.61149,14.1591,0.232312,0.324581,0.000251064,0.160424,0.00112283,0.131217,0.336808,0.28195,0.541501
21,1717638299,2024-06-06 01:44 UTC,246809,315069,8.60377,14.1666,0.222535,0.312905,0.000216987,0.187382,0.00112492,0.13105,0.337164,0.25906,0.504315
22,1717638599,2024-06-06 01:49 UTC,246902,315226,8.59609,14.1741,0.212759,0.301246,0.000206802,0.209744,0.00112449,0.13088,0.33752,0.23674,0.468204
23,1717638899,2024-06-06 01:54 UTC,246996,315383,8.58845,14.1816,0.202987,0.289594,0.000152817,0.222889,0.00112364,0.130712,0.337877,0.215397,0.431931
24,1717639199,2024-06-06 01:59 UTC,247092,315542,8.58086,14.1891,0.193219,0.277951,0.000199726,0.224405,0.00112409,0.130548,0.338233,0.195304,0.39826
25,1717639499,2024-06-06 02:04 UTC,247187,315700,8.57331,14.1965,0.180635,0.262792,0.000208146,0.205671,0.0011231,0.130382,0.33859,0.170632,0.355849
26,1717639799,2024-06-06 02:09 UTC,247284,315860,8.56581,14.204,0.168046,0.247634,0.000138621,0.180568,0.0011227,0.13022,0.338947,0.147732,0.315361
27,1717640099,2024-06-06 02:14 UTC,247382,316020,8.55835,14.2115,0.155463,0.232492,0.000167741,0.147411,0.00112613,0.13006,0.339304,0.126587,0.278272
28,1717640399,2024-06-06 02:19 UTC,247481,316180,8.55093,14.219,0.142888,0.217369,0.000118391,0.0754275,0.00112833,0.1299,0.339662,0.106953,0.243465
29,1717640699,2024-06-06 02:24 UTC,247582,316342,8.54356,14.2265,0.130322,0.202269,0.000135646,0.115639,0.00113053,0.129743,0.34002,0.089102,0.210705
30,1717640999,2024-06-06 02:29 UTC,247683,316504,8.53623,14.234,0.117768,0.187198,0.000155876,0.0573112,0.00112979,0.12959,0.340377,0.0730095,0.18127
31,1717641299,2024-06-06 02:34 UTC,247785,316667,8.52895,14.2414,0.10523,0.172164,0.000120755,0.00912456,0.00112991,0.129435,0.340735,0.0583886,0.152849
32,1717641599,2024-06-06 02:39 UTC,247888,316830,8.52172,14.2489,0.0927148,0.157176,9.97905e-05,0.00521652,0.00112998,0.129284,0.341094,0.0455482,0.127067
33,1717641899,2024-06-06 02:44 UTC,247993,316994,8.51453,14.2564,0.0802311,0.14225,0.000115533,0.0037011,0.00112998,0.129133,0.341452,0.0343461,0.104222
34,1717642199,2024-06-06 02:49 UTC,248098,317159,8.50739,14.2639,0.0677955,0.127413,0.00011246,0.00261534,0.00112998,0.128986,0.341811,0.0248787,0.0838173
35,1717642499,2024-06-06 02:54 UTC,248204,317325,8.50029,14.2714,0.0554391,0.112704,0.000111784,0.00213347,0.0011302,0.128838,0.34217,0.0169988,0.0654198
