frame,epoch_utc,datetime_utc,ice_strength_mean,ice_strength_max,wind_speed_mean,wind_speed_max,current_speed_mean,current_speed_max,ice_speed_mean,ice_speed_max,fractured_fraction,wind_drag_mean,wind_drag_max,current_drag_mean,current_drag_max
1,1717632299,2024-06-06 00:04 UTC,245596,310750,8.76101,14.0163,0.367379,0.487561,8.92069e-06,0.00030568,0,0.13471,0.330047,0.707276,1.22414
2,1717632599,2024-06-06 00:09 UTC,245665,310893,8.75249,14.0235,0.362211,0.481315,1.75188e-05,0.00234524,0,0.134504,0.330385,0.687398,1.19289
3,1717632899,2024-06-06 00:14 UTC,245736,311036,8.74401,14.0306,0.357044,0.475069,2.52155e-05,0.00746603,0,0.134299,0.330722,0.66781,1.16206
4,1717633199,2024-06-06 00:19 UTC,245808,311180,8.73557,14.0378,0.351879,0.468825,3.28485e-05,0.0164768,0,0.134097,0.33106,0.648509,1.13164
5,1717633499,2024-06-06 00:24 UTC,245882,311325,8.72717,14.045,0.346716,0.462582,3.99289e-05,0.0296857,0,0.133896,0.331398,0.629498,1.10163
6,1717633799,2024-06-06 00:29 UTC,245956,311470,8.71881,14.0521,0.341555,0.456339,4.63936e-05,0.0470525,0,0.133697,0.331736,0.610776,1.07204
7,1717634099,2024-06-06 00:34 UTC,246032,311616,8.71048,14.0593,0.336395,0.450098,5.14264e-05,0.0255553,0,0.1335,0.332075,0.592343,1.04285
8,1717634399,2024-06-06 00:39 UTC,246109,311763,8.7022,14.0665,0.331238,0.443857,5.62521e-05,0.00632009,0,0.133304,0.332413,0.574197,1.01406
9,1717634699,2024-06-06 00:44 UTC,246187,311910,8.69395,14.0736,0.326082,0.437618,6.43834e-05,0.00536152,0,0.133111,0.332751,0.556338,0.985785
10,1717634999,2024-06-06 00:49 UTC,246267,312059,8.68574,14.0808,0.320929,0.43138,9.35414e-05,0.00485395,0,0.132919,0.333091,0.538767,0.957383
11,1717635299,2024-06-06 00:54 UTC,246349,312208,8.67758,14.0879,0.315778,0.425142,0.00048677,0.00454531,7.57204e-05,0.132731,0.33343,0.521641,0.930553
12,1717635599,2024-06-06 00:59 UTC,246431,312357,8.66945,14.0951,0.31063,0.418907,0.000610587,0.0247877,0.000586066,0.132546,0.33377,0.504988,0.915187
13,1717635899,2024-06-06 01:04 UTC,246514,312508,8.66137,14.1023,0.300853,0.407006,0.000707901,0.00350921,0.00139801,0.132366,0.334108,0.474474,0.86053
14,1717636199,2024-06-06 01:09 UTC,246598,312659,8.65332,14.1094,0.291062,0.395088,0.000351984,0.00283757,0.00139802,0.132171,0.334448,0.442891,0.802562
15,1717636499,2024-06-06 01:14 UTC,246684,312811,8.64532,14.1167,0.281272,0.383181,0.000292892,0.0024458,0.00139798,0.13199,0.334793,0.413676,0.756883
16,1717636799,2024-06-06 01:19 UTC,246770,312964,8.63736,14.1242,0.271484,0.371405,0.000286434,0.00219476,0.00139814,0.131812,0.335147,0.38561,0.709819
17,1717637099,2024-06-06 01:24 UTC,246858,313117,8.62944,14.1316,0.261697,0.359684,0.000284973,0.00189479,0.00139817,0.131633,0.3355,0.358288,0.665463
18,1717637398,2024-06-06 01:29 UTC,246947,313271,8.62159,14.139,0.251944,0.348007,0.000251781,0.0017285,0.00139815,0.131452,0.335853,0.331683,0.622637
19,1717637698,2024-06-06 01:34 UTC,247037,313426,8.61375,14.1465,0.24216,0.336295,0.000250797,0.00152629,0.00139817,0.131276,0.336207,0.306304,0.582321
20,1717637998,2024-06-06 01:39 UTC,247128,313582,8.60596,14.154,0.232379,0.324589,0.000234531,0.00136149,0.00139813,0.131107,0.336562,0.282408,0.543804
21,1717638298,2024-06-06 01:44 UTC,247220,313738,8.59821,14.1614,0.2226,0.312924,0.000188932,0.00124418,0.00139814,0.130935,0.336917,0.25905,0.504111
22,1717638598,2024-06-06 01:49 UTC,247311,313895,8.59051,14.1689,0.212824,0.301267,0.000185847,0.00117946,0.00139815,0.130763,0.337271,0.236626,0.46697
23,1717638898,2024-06-06 01:54 UTC,247405,314053,8.58284,14.1763,0.20305,0.289618,0.000191998,0.00108317,0.00139813,0.130596,0.337626,0.215468,0.431125
24,1717639198,2024-06-06 01:59 UTC,247500,314212,8.57523,14.1838,0.193281,0.277976,0.00019757,0.000971534,0.00139812,0.130432,0.337981,0.195413,0.398721
